record_id,author_year,outcome_dim,minority_group,registry_family,coverage_tier,period,provenance,irr,irr_ci_lo,irr_ci_hi,cluster,main_analysis,representative_reason
66,Hendrick2021_SEER9,aggregate-vs-NHW,Asian/PI (aggregate),SEER-national,6,2013-2017,directly-reported-IRR,0.92,0.9,0.95,aggregate-vs-NHW | Asian/PI (aggregate) | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
SEER-EXPL,SEER22_Explorer_2019-2023,aggregate-vs-NHW,Asian/PI (aggregate),SEER-national,6,2019-2023,computed-from-rates-with-CI,0.823,0.815,0.831,aggregate-vs-NHW | Asian/PI (aggregate) | national,no (registry-direct anchor),"SEER-Explorer reference, not a screened study"
12,Zhang2025_USCS_female,aggregate-vs-NHW,Asian/PI (aggregate),Other/unspecified,1,2017-2021,directly-reported-IRR,0.79,0.79,0.8,aggregate-vs-NHW | Asian/PI (aggregate) | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
169,Ellington2022_USCS,aggregate-vs-NHW,Black,USCS(NPCR+SEER ~99%),9,2018,computed-from-rates-Poisson-SE,0.933,0.920,0.946,aggregate-vs-NHW | Black | national,yes (representative),best of 9 in cell by provenance/coverage/period
182,Cronin2012_VitalSigns_23151952,aggregate-vs-NHW,Black,USCS(NPCR+SEER ~99%),9,2004-2008,computed-from-rates-Poisson-SE,0.957,0.944,0.971,aggregate-vs-NHW | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
2131,Xie2022_USCS,aggregate-vs-NHW,Black,USCS(NPCR+SEER ~99%),9,1999-2017,computed-from-rates-with-CI,0.940,0.938,0.943,aggregate-vs-NHW | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
346,Richardson2016_27736827,aggregate-vs-NHW,Black,USCS(NPCR+SEER ~99%),9,2011,computed-from-rates-with-CI,0.983,0.977,0.989,aggregate-vs-NHW | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
10,Davis Lynn2025_SEER17,aggregate-vs-NHW,Black,SEER-national,6,2013-2015,computed-from-rates-with-CI,0.971,0.956,0.987,aggregate-vs-NHW | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
234,Gomez2026_SEER21,aggregate-vs-NHW,Black,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.941,0.932,0.949,aggregate-vs-NHW | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
66,Hendrick2021_SEER9,aggregate-vs-NHW,Black,SEER-national,6,2013-2017,directly-reported-IRR,0.97,0.95,1.0,aggregate-vs-NHW | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
