record_id,year,series,title,doi,doi_url,pmid,pubmed_url
148,2016,ACS-AABlack,"Cancer statistics for African Americans, 2016: Progress and opportunities in reducing racial disparities",10.3322/caac.21340,https://doi.org/10.3322/caac.21340,26910411,https://pubmed.ncbi.nlm.nih.gov/26910411/
151,2013,PRIMARY,"Cancer incidence trends among asian american populations in the united states, 1990-2008",10.1093/jnci/djt157,https://doi.org/10.1093/jnci/djt157,23878350,https://pubmed.ncbi.nlm.nih.gov/23878350/
155,2023,PRIMARY,State Variation in Racial and Ethnic Disparities in Incidence of Triple-Negative Breast Cancer among US Women,10.1001/jamaoncol.2022.7835,https://doi.org/10.1001/jamaoncol.2022.7835,36862439,https://pubmed.ncbi.nlm.nih.gov/36862439/
156,2022,ARN,"Annual report to the nation on the status of cancer, part 1: National cancer statistics",10.1002/cncr.34479,https://doi.org/10.1002/cncr.34479,36301149,https://pubmed.ncbi.nlm.nih.gov/36301149/
157,2005,PRIMARY,Breast cancer trends among black and white women in the United States,10.1200/jco.2004.01.0421,https://doi.org/10.1200/jco.2004.01.0421,16258086,https://pubmed.ncbi.nlm.nih.gov/16258086/
158,2022,PRIMARY,"Trends in breast cancer incidence rates by race/ethnicity: Patterns by stage, socioeconomic position, and geography in the United States, 1999-2017",10.1002/cncr.34008,https://doi.org/10.1002/cncr.34008,34731501,https://pubmed.ncbi.nlm.nih.gov/34731501/
161,2019,PRIMARY,The high and heterogeneous burden of breast cancer in Hawaii: A unique multiethnic U.S. Population,10.1016/j.canep.2018.11.006,https://doi.org/10.1016/j.canep.2018.11.006,30503975,https://pubmed.ncbi.nlm.nih.gov/30503975/
165,2001,PRIMARY,Socioeconomic status and breast cancer incidence in California for different race/ethnic groups,10.1023/a:1011240019516,https://doi.org/10.1023/a:1011240019516,11562110,https://pubmed.ncbi.nlm.nih.gov/11562110/
169,2022,PRIMARY,"Trends in Breast Cancer Incidence, by Race, Ethnicity, and Age Among Women Aged ≥20 Years - United States, 1999-2018",10.15585/mmwr.mm7102a2,https://doi.org/10.15585/mmwr.mm7102a2,35025856,https://pubmed.ncbi.nlm.nih.gov/35025856/
178,2019,PRIMARY,Trends in stage at diagnosis for young breast cancer patients in the United States,10.1007/s10549-018-5042-1,https://doi.org/10.1007/s10549-018-5042-1,30426307,https://pubmed.ncbi.nlm.nih.gov/30426307/
182,2012,PRIMARY,"Vital signs: Racial disparities in breast cancer severity - United States, 2005-2009",,,23151952,https://pubmed.ncbi.nlm.nih.gov/23151952/
188,2006,PRIMARY,Trends in breast cancer by race and ethnicity: Update 2006,,,16737949,https://pubmed.ncbi.nlm.nih.gov/16737949/
190,2020,PRIMARY,"Cancer Incidence Rate Variations among the Chinese, South Asian, and Vietnamese  in Massachusetts, 2011-2015",,,34128917,https://pubmed.ncbi.nlm.nih.gov/34128917/
193,2026,PRIMARY,Breast cancer trends and outcomes among young Black Women: A national cancer database analysis,10.1016/j.amjsurg.2025.116577,https://doi.org/10.1016/j.amjsurg.2025.116577,40885651,https://pubmed.ncbi.nlm.nih.gov/40885651/
199,2008,PRIMARY,"Breast cancer epidemiology in blacks and whites: Disparities in incidence, mortality, survival rates and histology",10.1016/s0027-9684(15)31294-3,https://doi.org/10.1016/s0027-9684(15)31294-3,18507200,https://pubmed.ncbi.nlm.nih.gov/18507200/
