record_id,year,series,registry_family_guess,pmid,doi,title,ft_decision,ft_reason,registry_family_confirmed,diagnosis_years,minority_group,minority_rate,minority_ci,nhw_rate,nhw_ci,irr,irr_ci,source_location,notes
377,2016,PRIMARY,SEER,27792934,10.1016/j.canep.2016.10.013,Racial/ethnicity disparities in invasive breast cancer among younger and older  women: An analysis using multiple measures of population health,,,,,,,,,,,,,
381,2010,PRIMARY,UNSPECIFIED (confirm at full text),20336785,10.1002/cncr.25016,Age/race differences in HER2 testing and in incidence rates for breast cancer triple subtypes: A population-based study and first report,,,,,,,,,,,,,
383,2002,PRIMARY,SEER,12206512,10.1023/a:1016361932220,Rates for breast cancer characteristics by estrogen and progesterone receptor status in the major racial/ethnic groups,,,,,,,,,,,,,
384,2006,ARN,Multi-registry aggregate report (ARN),16958083,10.1002/cncr.22193,"Annual report to the nation on the status of cancer, 1975-2003, featuring cancer  among U.S. Hispanic/Latino populations",,,,,,,,,,,,,
385,2025,PRIMARY,State/regional: hawaii,,10.1245/s10434-025-16974-x,"Disparities in Stage at Presentation for Disaggregated Asian American, Native Hawaiian, and Pacific Islander Patients with Breast Cancer",,,,,,,,,,,,,
402,2016,PRIMARY,UNSPECIFIED (confirm at full text),26741869,10.14423/smj.0000000000000396,"Disparities in Breast Cancer Incidence, Mortality, and Quality of Care among African American and European American Women in South Carolina",,,,,,,,,,,,,
405,2013,PRIMARY,SEER,23446808,10.1007/s10549-013-2434-0,A trend analysis of breast cancer incidence rates in the United States from 2000 to 2009 shows a recent increase,,,,,,,,,,,,,
411,2015,ARN,Multi-registry aggregate report (ARN),25825511,10.1093/jnci/djv048,"Annual report to the nation on the status of cancer, 1975-2011, featuring incidence of breast cancer subtypes by race/ethnicity, poverty, and state",,,,,,,,,,,,,
413,2005,ARN,Multi-registry aggregate report (ARN),16204691,10.1093/jnci/dji289,"Annual report to the nation on the status of cancer, 1975-2002, featuring  population-based trends in cancer treatment",,,,,,,,,,,,,
415,2006,PRIMARY,Alaska Native Registry,17929614,,Women's cancers among Alaska Natives 1969-2003.,,,,,,,,,,,,,
419,2011,PRIMARY,California Cancer Registry,21656753,10.1002/cncr.25862,Higher population-based incidence rates of triple-negative breast cancer among young African-American women,,,,,,,,,,,,,
424,2002,PRIMARY,Multiethnic Cohort,12223421,,Breast cancer in a multiethnic cohort in Hawaii and Los Angeles: Risk factor-adjusted incidence in Japanese equals and in Hawaiians exceeds that in whites,,,,,,,,,,,,,
425,2025,PRIMARY,SEER,40543242,10.1016/j.canep.2025.102861,Regional disparities in incidence and outcomes of invasive ductal carcinoma of the breast among Asian and Pacific Islander women in the United States,,,,,,,,,,,,,
426,2025,PRIMARY,UNSPECIFIED (confirm at full text),39837694,10.1016/j.clbc.2024.12.015,"Trends in Incidence of Invasive Lobular Carcinoma of the Breast by Race: Patterns by Age, Cancer Stage, and Socioeconomic Factors in the United States, 1992-2019",,,,,,,,,,,,,
427,2025,PRIMARY,California Cancer Registry,39438356,10.1007/s10552-024-01907-y,"The role of ethnic enclaves and neighborhood socioeconomic status in invasive breast cancer incidence rates among Asian American, Native Hawaiian, and Pacific Islander females in California",,,,,,,,,,,,,
428,2007,PRIMARY,Alaska Native Registry,18323374,,Women's cancers among Alaska Natives: [corrected] 1969-2003.,,,,,,,,,,,,,
436,2026,PRIMARY,SEER,42466659,10.1177/10732748261470901,"Incidence, Trends, and Racial/Ethnic Disparities in Female Breast Cancer in the United States, 2000-2023: A SEER Based Study",,,,,,,,,,,,,
438,2007,PRIMARY,SEER,18086787,10.1158/1055-9965.epi-07-0546,"Changes in breast cancer incidence rates in the United States by histologic subtype and race/ethnicity, 1995 to 2004",,,,,,,,,,,,,
448,2006,PRIMARY,State/regional: massachusetts,16425100,10.1007/s10552-005-0408-1,"Race/ethnicity and changing US socioeconomic gradients in breast cancer incidence: California and Massachusetts, 1978-2002 (United States)",,,,,,,,,,,,,
453,2010,PRIMARY,UNSPECIFIED (confirm at full text),20024610,10.1007/s10552-009-9472-2,Racial differences in the incidence of breast cancer subtypes defined by combined histologic grade and hormone receptor status,,,,,,,,,,,,,
455,2013,PRIMARY,State/regional: hawaii,23907433,10.1038/bjc.2013.387,Comparison of clinicopathologic features and survival in young American women aged 18-39 years in different ethnic groups with breast cancer,,,,,,,,,,,,,
461,2015,PRIMARY,Alaska Native Registry,26320932,10.1353/hpu.2015.0089,"Trends and Patterns of Late and Unstaged Lung, Colorectal, Female Breast, and  Prostate Cancers among American Indians in the Northern Plains, 2002-2009",,,,,,,,,,,,,
463,2007,PRIMARY,California Cancer Registry,17163416,10.1002/ijc.22432,Recent trends in breast cancer incidence among 6 Asian groups in the Greater Bay Area of Northern California,,,,,,,,,,,,,
474,2026,PRIMARY,SEER,41546752,10.1007/s10552-025-02114-z,"Persistent poverty and breast cancer incidence by tumor subtype: intersections of rural/urban residence and race within USA Surveillance Epidemiology and End Results Registries, 2017 to 2021",,,,,,,,,,,,,
475,2002,PRIMARY,SEER,11899120,10.1023/a:1013960609008,The greater impact of menopause on ER- than ER+ breast cancer incidence: A possible explanation (United States),,,,,,,,,,,,,
476,2026,PRIMARY,UNSPECIFIED (confirm at full text),41665696,10.1007/s10552-026-02134-3,"Rural–urban disparities in breast cancer incidence among US women aged 20–49: trends by race/ethnicity, stage, poverty, and state from 2000–2019",,,,,,,,,,,,,
477,2026,PRIMARY,UNSPECIFIED (confirm at full text),41649619,10.1007/s10552-025-02124-x,"Spillover effects of public school integration in the southern United States: diverging trends in statewide annual breast cancer incidence, 2001–2019",,,,,,,,,,,,,
480,2015,PRIMARY,State/regional: detroit,25442056,10.1016/j.annepidem.2014.09.006,Changes in the pattern of breast cancer burden among African American women: Evidence based on 29 states and District of Columbia during 1998 to 2010,,,,,,,,,,,,,
485,2009,PRIMARY,SEER,19124489,10.1158/1055-9965.epi-08-0679,"Trends in area-socioeconomic and race-ethnic disparities in breast cancer incidence, stage at diagnosis, screening, mortality, and survival among women ages 50 years and over (1987-2005)",,,,,,,,,,,,,
500,2020,PRIMARY,Alaska Native Registry,31764279,10.1097/ede.0000000000001140,"Trends in Cancer Incidence among American Indians and Alaska Natives and Non-Hispanic Whites in the United States, 1999-2015",,,,,,,,,,,,,
504,2025,PRIMARY,California Cancer Registry,40736150,10.1002/cam4.71088,Cancer Incidence and Trends in Persistent Poverty Areas of California by Race/Ethnicity and Sex,,,,,,,,,,,,,
510,2016,ACS-AANHPI,Multi-registry aggregate report (ACS-AANHPI),26766789,10.3322/caac.21335,"Cancer statistics for Asian Americans, Native Hawaiians, and Pacific Islanders, 2016: Converging incidence in males and females",,,,,,,,,,,,,
516,2023,PRIMARY,State/regional: detroit,37184135,10.1002/cam4.6065,The role of area-level socioeconomic disadvantage in racial disparities in cancer incidence in metropolitan Detroit,,,,,,,,,,,,,
517,2017,ACS-BreastStats,Multi-registry aggregate report (ACS-BreastStats),28972651,10.3322/caac.21412,"Breast cancer statistics, 2017, racial disparity in mortality by state",,,,,,,,,,,,,
522,2023,PRIMARY,State/regional: hawaii,36504334,10.1007/s10552-022-01659-7,"Characterizing breast cancer incidence and trends among Asian American, Native Hawaiian, and non-Hispanic White women in Hawaiʻi, 1990-2014",,,,,,,,,,,,,
541,2022,PRIMARY,State/regional: pennsylvania,35064367,10.1007/s10549-021-06492-1,Racial and socioeconomic disparities in breast cancer diagnosis and mortality in Pennsylvania,,,,,,,,,,,,,
543,2022,ACS-AABlack,Multi-registry aggregate report (ACS-AABlack),35143040,10.3322/caac.21718,Cancer statistics for African American/Black People 2022,,,,,,,,,,,,,
565,2017,PRIMARY,State/regional: hawaii,29120826,10.1016/j.canep.2017.08.005,Cancer in Guam and Hawaii: A comparison of two U.S. Island populations,,,,,,,,,,,,,
587,2009,PRIMARY,California Cancer Registry,19292805,10.1111/j.1524-4741.2009.00694.x,"Breast cancer in the middle eastern population of California, 1988-2004",,,,,,,,,,,,,
603,2015,PRIMARY,State/regional: connecticut,25905822,10.2105/ajph.2015.302640,"Secular trends, race, and geographic disparity of early-stage breast cancer incidence: 25 years of surveillance in Connecticut",,,,,,,,,,,,,
605,2002,ARN,Multi-registry aggregate report (ARN),12173348,10.1002/cncr.10593,"Annual report to the nation on the status of cancer, 1973-1999, featuring implications of age and aging on U.S. cancer burden",,,,,,,,,,,,,
612,2022,ACS-BreastStats,Multi-registry aggregate report (ACS-BreastStats),36190501,10.3322/caac.21754,"Breast Cancer Statistics, 2022",,,,,,,,,,,,,
617,2007,ARN,Multi-registry aggregate report (ARN),17939129,10.1002/cncr.23044,"Annual report to the nation on the status of cancer, 1975-2004, featuring cancer  in American Indians and Alaska Natives",,,,,,,,,,,,,
687,2005,PRIMARY,State/regional: north carolina,15922628,10.1016/j.annepidem.2005.02.006,"Urbanization and breast cancer incidence in North Carolina, 1995-1999",,,,,,,,,,,,,
694,2001,ARN,Multi-registry aggregate report (ARN),11390532,10.1093/jnci/93.11.824,"Annual report to the nation on the status of cancer (1973 through 1998),  featuring cancers with recent increasing trends",,,,,,,,,,,,,
701,2025,PRIMARY,USCS (NPCR+SEER),39937364,10.1007/s10552-025-01968-7,"Geographic differences in early-onset breast cancer incidence trends in the USA, 2001–2020, is it time for a geographic risk score?",,,,,,,,,,,,,
751,2004,PRIMARY,UNSPECIFIED (confirm at full text),15090727,10.1023/b:caco.0000024222.61114.18,Population-based statistics for women diagnosed with inflammatory breast cancer (United States),,,,,,,,,,,,,
754,2024,PRIMARY,State/regional: guam,38996557,10.1016/j.canep.2024.102611,Breast cancer incidence and stage at diagnosis in the six US-Affiliated Pacific  Islands,,,,,,,,,,,,,
788,2019,ARN,Multi-registry aggregate report (ARN),31145458,10.1093/jnci/djz106,"Annual Report to the Nation on the Status of Cancer, Featuring Cancer in Men and Women Age 20–49 Years",,,,,,,,,,,,,
825,2000,ARN,Multi-registry aggregate report (ARN),10820364,10.1002/(sici)1097-0142(20000515)88:10<2398::aid-cncr26>3.0.co;2-i,"The annual report to the nation on the status of cancer, 1973-1997, with a  special section on colorectal cancer",,,,,,,,,,,,,
916,2023,PRIMARY,California Cancer Registry,36622036,10.1093/jnci/djac238,Disparities in cancer incidence by rurality in California,,,,,,,,,,,,,
955,2009,PRIMARY,SEER,19067192,10.1007/s10552-008-9275-x,Cancer among Asian Indians/Pakistanis living in the United States: Low incidence and generally above average survival,,,,,,,,,,,,,
968,2010,ARN,Multi-registry aggregate report (ARN),19998273,10.1002/cncr.24760,"Annual report to the nation on the status of cancer, 1975-2006, featuring  colorectal cancer trends and impact of interventions (risk factors, screening, and treatment) to reduce future rates",,,,,,,,,,,,,
985,2001,PRIMARY,California Cancer Registry,11275449,10.1016/s0749-3797(00)00314-7,"The risk of developing breast cancer within the next 5, 10, or 20 years of a woman's life",,,,,,,,,,,,,
998,2017,PRIMARY,NIH-AARP cohort,28854891,10.1186/s12885-017-3557-1,"Cancer-related risk factors and incidence of major cancers by race, gender and region; analysis of the NIH-AARP diet and health study",,,,,,,,,,,,,
1015,2006,PRIMARY,UNSPECIFIED (confirm at full text),16804474,10.1097/01.ede.0000229195.98786.ee,Breast cancer trends among young women in the United States,,,,,,,,,,,,,
1101,2023,PRIMARY,State/regional: minnesota,37740603,10.1002/cam4.6558,Cancer incidence in the Somali population of Olmsted County: A Rochester epidemiology project study,,,,,,,,,,,,,
1106,2020,ACS-AYA,Multi-registry aggregate report (ACS-AYA),32940362,10.3322/caac.21637,"Cancer statistics for adolescents and young adults, 2020",,,,,,,,,,,,,
1196,2012,ACS-Annual,Multi-registry aggregate report (ACS-Annual),22237781,10.3322/caac.20138,"Cancer statistics, 2012",,,,,,,,,,,,,
1336,2026,PRIMARY,SEER,,10.1038/s41523-026-00935-y,"Disparities in breast cancer incidence and survival by age, race, and molecular subtype in US women",,,,,,,,,,,,,
1398,2026,PRIMARY,UNSPECIFIED (confirm at full text),41989785,10.1001/jamanetworkopen.2026.7529,"Early-Onset Cancer Incidence Disparities Between Black and White Individuals in the US, 2003-2022",,,,,,,,,,,,,
